Time,Date,Year,Month,Month_Num,Country,Value ($US)
May 2024,2024-05-01,2024,May,05,Mexico,29088172236.0
June 2024,2024-06-01,2024,June,06,Canada,29906105810.0
June 2024,2024-06-01,2024,June,06,Mexico,27685105980.0
July 2024,2024-07-01,2024,July,07,Canada,27700375563.0
July 2024,2024-07-01,2024,July,07,Mexico,28716066029.0
August 2024,2024-08-01,2024,August,08,Canada,29919514126.0
August 2024,2024-08-01,2024,August,08,Mexico,30021492150.0
September 2024,2024-09-01,2024,September,09,Canada,29152632625.0
September 2024,2024-09-01,2024,September,09,Mexico,28330319054.0
October 2024,2024-10-01,2024,October,10,Canada,29817678853.0
October 2024,2024-10-01,2024,October,10,Mexico,29115498875.0
November 2024,2024-11-01,2024,November,11,Canada,28389282858.0
November 2024,2024-11-01,2024,November,11,Mexico,26900220432.0
December 2024,2024-12-01,2024,December,12,Canada,26989036387.0
December 2024,2024-12-01,2024,December,12,Mexico,24620571178.0
2025 through March,2025,2025,Annual,00,Canada,86565186415.0
2025 through March,2025,2025,Annual,00,Mexico,84045526751.0
January 2025,2025-01-01,2025,January,01,Canada,26457047648.0
January 2025,2025-01-01,2025,January,01,Mexico,27929512213.0
February 2025,2025-02-01,2025,February,02,Canada,28317924380.0
February 2025,2025-02-01,2025,February,02,Mexico,26753584572.0
March 2025,2025-03-01,2025,March,03,Canada,31790214387.0
March 2025,2025-03-01,2025,March,03,Mexico,29362429966.0
