Time,Date,Year,Month,Month_Num,Country,Value ($US)
June 2020,2020-06-01,2020,June,06,Mexico,25672078884.0
July 2020,2020-07-01,2020,July,07,Canada,22329745268.0
July 2020,2020-07-01,2020,July,07,Mexico,28878189550.0
August 2020,2020-08-01,2020,August,08,Canada,23748921934.0
August 2020,2020-08-01,2020,August,08,Mexico,29555632641.0
September 2020,2020-09-01,2020,September,09,Canada,24595478130.0
September 2020,2020-09-01,2020,September,09,Mexico,29788032020.0
October 2020,2020-10-01,2020,October,10,Canada,24853058195.0
October 2020,2020-10-01,2020,October,10,Mexico,32785496819.0
November 2020,2020-11-01,2020,November,11,Canada,24064876260.0
November 2020,2020-11-01,2020,November,11,Mexico,29819707574.0
December 2020,2020-12-01,2020,December,12,Canada,24632320835.0
December 2020,2020-12-01,2020,December,12,Mexico,29360853468.0
2021,2021,2021,Annual,00,Canada,357274663444.0
2021,2021,2021,Annual,00,Mexico,382569339250.0
January 2021,2021-01-01,2021,January,01,Canada,24721034157.0
January 2021,2021-01-01,2021,January,01,Mexico,28976451284.0
February 2021,2021-02-01,2021,February,02,Canada,25215553563.0
February 2021,2021-02-01,2021,February,02,Mexico,27201783374.0
March 2021,2021-03-01,2021,March,03,Canada,29809929563.0
March 2021,2021-03-01,2021,March,03,Mexico,33313889483.0
April 2021,2021-04-01,2021,April,04,Canada,27484178130.0
April 2021,2021-04-01,2021,April,04,Mexico,31991844406.0
May 2021,2021-05-01,2021,May,05,Canada,29040495464.0
May 2021,2021-05-01,2021,May,05,Mexico,31108854912.0
June 2021,2021-06-01,2021,June,06,Canada,32160938378.0
June 2021,2021-06-01,2021,June,06,Mexico,32776616579.0
July 2021,2021-07-01,2021,July,07,Canada,29809808476.0
July 2021,2021-07-01,2021,July,07,Mexico,31818084797.0
August 2021,2021-08-01,2021,August,08,Canada,30951337590.0
August 2021,2021-08-01,2021,August,08,Mexico,31957126193.0
September 2021,2021-09-01,2021,September,09,Canada,29926457015.0
September 2021,2021-09-01,2021,September,09,Mexico,31829475316.0
October 2021,2021-10-01,2021,October,10,Canada,31577065125.0
October 2021,2021-10-01,2021,October,10,Mexico,34138925977.0
November 2021,2021-11-01,2021,November,11,Canada,33810911660.0
November 2021,2021-11-01,2021,November,11,Mexico,34470179273.0
